S.No,Project,Sector,State,District,Budget_Outlay_Cr,Amount_Spent_Cr,Implementation_Mode,Year,Company
12,"Strengthening Government Institutions - Govt. Schools/ Colleges, Polytechnics, Itis Etc.",Education,Karnataka,Bengaluru Urban,0,1.42,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
13,"Women Empowerment - Collectivization Of Women Into Self Help Groups (Shgs) To Bring About Social, Ec",Education,Karnataka,Bengaluru Urban,0,0.5,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
14,Call For Action Towards Covid-19 (Dry Ration Kit And Personal Hygiene Kit Distribution ForABCD 250 H,Environmental Sustainability,Karnataka,Bengaluru Urban,0,0.5,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
15,Conservation And Rejuvenation Of Waterbodies Through Community Engagement,Environmental Sustainability,Karnataka,Bengaluru Urban,0,0.5,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
16,Improving Lives Of Stray Animals And Addressing Human Animal Conflict Inside Community Areas,Environmental Sustainability,Karnataka,Bengaluru Urban,0,0.59,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
17,"Women Empowerment - Collectivization Of Women Into Self Help Groups (Shgs) To Bring About Social, Ec",Gender Equality,Karnataka,Bengaluru Urban,0,0,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
18,"Adopt A Phc - Equipment Support To Phcs (Bp Monitors, Oximeters, Thermometers)",Health Care,Karnataka,Bengaluru Urban,0,0.33,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
19,Health In Emergencies,Health Care,Karnataka,Bengaluru Urban,0,0.28,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
20,"Non-Communicable / Communicable Diseases, Elderly Care, Nutrition, Well Being And Mental Health In A",Health Care,Karnataka,Bengaluru Urban,0,0.97,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
21,Universal Health Care Through Health System Strengthening,Health Care,Karnataka,Bengaluru Urban,0,0.5,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
22,Ensuring Access To Safe Drinking Water & Sanitation,"Poverty, Eradicating Hunger, Malnutrition",Karnataka,Bengaluru Urban,0,0.77,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
23,Incubation Of Social Entrepreneurs/ Micro-Enterprises,"Poverty, Eradicating Hunger, Malnutrition",Karnataka,Bengaluru Urban,0,0.12,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
24,"Non-Communicable / Communicable Diseases, Elderly Care, Nutrition, Well Being And Mental Health In A","Poverty, Eradicating Hunger, Malnutrition",Karnataka,Bengaluru Urban,0,0,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
25,Providing Market Oriented Employable Skills With Wage/ Self Employment Opportunities Through Skill T,"Poverty, Eradicating Hunger, Malnutrition",Karnataka,Bengaluru Urban,0,0.33,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
26,Strengthening The Access & Quality Of Childcare Services For All Young Children Under 6 Years Throug,"Poverty, Eradicating Hunger, Malnutrition",Karnataka,Bengaluru Urban,0,0.36,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
27,Strengthening The Access & Quality Of Childcare Services For All Young Children Under 6 Years Throug,Slum Area Development,Karnataka,Bengaluru Urban,0,0.17,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
28,Providing Market Oriented Employable Skills With Wage/ Self Employment Opportunities Through Skill T,Special Education,Karnataka,Bengaluru Urban,0,0.2,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
29,'Sports For Change' - Sports Training & Holistic Development,Training To Promote Sports,Karnataka,Bengaluru Urban,0,1.12,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
30,Sustainable Waste Management Through Community-Owned Rural Resource Recovery Systems,Environmental Sustainability,Karnataka,Nec/ Not Mentioned,0,1,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
31,Early Preparation To A Safe And Healthy Motherhood: Understanding Delays And Opportunities In Delive,"Poverty, Eradicating Hunger, Malnutrition",Karnataka,Nec/ Not Mentioned,0,0.25,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
32,Udaan: Breaking The Barriers And Rebuilding The Lives Of Bedia Girls,Education,Madhya Pradesh,Nec/ Not Mentioned,0,0.87,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
33,Action Towards Covid-19 Response (Migrant Resilience Collaborative To Strengthen SocialABCDProtectio,Environmental Sustainability,Madhya Pradesh,Nec/ Not Mentioned,0,0.14,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
34,Project Manch - Improving Maternal Newborn & Child Health Outcomes In Tribal Areas Of Madhya Pradesh,"Poverty, Eradicating Hunger, Malnutrition",Madhya Pradesh,Shahdol,0,1,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
35,Strengthening The Value Chain Of Arts & Crafts Sector & Linking Artisans To Customers (A2C) Directl,Art And Culture,Maharashtra,Nagpur,0,0.4,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
36,"Women Empowerment - Collectivization Of Women Into Self Help Groups (Shgs) To Bring About Social, Ec",Education,Maharashtra,Nagpur,0,0,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
37,"Women Empowerment - Collectivization Of Women Into Self Help Groups (Shgs) To Bring About Social, Ec",Education,Maharashtra,Nagpur,0,0.2,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
38,"Increase In Green Cover, Carbon Sequestration, Native Biodiversity Through Afforestation And Habitat",Environmental Sustainability,Maharashtra,Nagpur,0,0.48,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
39,Setting Up Oxygen Generation Plant,Environmental Sustainability,Maharashtra,Nagpur,0,1,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
40,"Women Empowerment - Collectivization Of Women Into Self Help Groups (Shgs) To Bring About Social, Ec",Gender Equality,Maharashtra,Nagpur,0,0.37,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
41,Ensuring Access To Safe Drinking Water & Sanitation,"Poverty, Eradicating Hunger, Malnutrition",Maharashtra,Nagpur,0,0.32,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
42,Shakti Girls ? Beyond Boundaries : Providing Adolescent Girls Access To Sports In Safe Community Spa,Training To Promote Sports,Maharashtra,Nagpur,0,0.25,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
43,Providing Market Oriented Employable Skills With Wage/ Self Employment Opportunities Through Skill T,Vocational Skills,Maharashtra,Nagpur,0,0.13,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
44,Yuva- Sathi (Youth For Mentoring Of Adolescents),Vocational Skills,Maharashtra,Nec/ Not Mentioned,0,0.25,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
45,'My School' - Enhancement Of State/Under-Served Schools To Strengthen The Quality Of Primary And Sec,Education,Maharashtra,Pune,0,1.03,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
46,Providing Market Oriented Employable Skills With Wage/ Self Employment Opportunities Through Skill T,Education,Maharashtra,Pune,0,0.33,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
47,Securing Baghmara-Balpakram Elephant Corridor ByABCD Notifying 1000 Hectares Corridor Forest As Vill,Environmental Sustainability,Meghalaya,South Garo Hills,0,1,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
48,Wildlife Emergency,Environmental Sustainability,Meghalaya,South Garo Hills,0,0.21,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
49,Lifeconnect - Improving Healthcare Access And Preventing Maternal ABCDAnd Child Death Across 3 Distr,Rural Development Projects,Nagaland,Nec/ Not Mentioned,0,0.85,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
50,Incubation Of Social Entrepreneurs/ Micro-Enterprises,"Armed Forces, Veterans, War Widows/ Dependants",Pan India,Nec/ Not Mentioned,0,0.47,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
51,Keeping Indigenous Bees Buzzing And SupportingABCD Biodiversity Conservation In Tribal Communities,Education,Pan India,Nec/ Not Mentioned,0,0.91,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
52,Promoting Quality Education Through A Culture OfABCD Peace And Safe Learning Environments For The Mo,Education,Pan India,Nec/ Not Mentioned,0,1,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
53,Promoting Stem Learning & Digital Literacy,Education,Pan India,Nec/ Not Mentioned,0,1.04,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
54,Providing Market Oriented Employable Skills With Wage/ Self Employment Opportunities Through Skill T,Education,Pan India,Nec/ Not Mentioned,0,0,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
55,Providing Market Oriented Employable Skills With Wage/ Self Employment Opportunities Through Skill T,Education,Pan India,Nec/ Not Mentioned,0,0.49,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
56,Providing Market Oriented Employable Skills With Wage/ Self Employment Opportunities Through Skill T,Education,Pan India,Nec/ Not Mentioned,0,0.66,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
57,Providing Market Oriented Employable Skills With Wage/ Self Employment Opportunities Through Skill T,Education,Pan India,Nec/ Not Mentioned,0,0.82,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
58,"Sambalam - Inclusive Education For Children With Visual Impairment In Rajasthan, Bihar And West Beng",Education,Pan India,Nec/ Not Mentioned,0,0.5,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
59,"School, Wash & Sports Infrastructure Strengthening",Education,Pan India,Nec/ Not Mentioned,0,1.05,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
60,Conservation And Rejuvenation Of Waterbodies Through Community Engagement,Environmental Sustainability,Pan India,Nec/ Not Mentioned,0,0,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
61,Covid 19-Reducing Community Transmission And Hunger In Highly Impacted Cities In India,Environmental Sustainability,Pan India,Nec/ Not Mentioned,0,1.47,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
62,Creating Community Awareness On Covid-19 & Strengthening Public Health Infrastructure,Environmental Sustainability,Pan India,Nec/ Not Mentioned,0,0.34,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
63,Icare - Informed Collaborative Action For Resilience Of Ecosystems,Environmental Sustainability,Pan India,Nec/ Not Mentioned,0,0,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
64,"Mitigating Impact On Humans, Nature Including Animals, Wildlife And Its Habitats, Any Other Aspects",Environmental Sustainability,Pan India,Nec/ Not Mentioned,0,0.59,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
65,"Reproductive, Maternal, New-Born, Child & Adolescent Health (Rmnch +A)",Gender Equality,Pan India,Nec/ Not Mentioned,0,0.82,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
66,Health In Emergencies,Health Care,Pan India,Nec/ Not Mentioned,0,13.21,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
67,"Increase In Green Cover, Carbon Sequestration, Native Biodiversity Through Afforestation And Habitat","Poverty, Eradicating Hunger, Malnutrition",Pan India,Nec/ Not Mentioned,0,0.6,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
68,"Non-Communicable / Communicable Diseases, Elderly Care, Nutrition, Well Being And Mental Health In A","Poverty, Eradicating Hunger, Malnutrition",Pan India,Nec/ Not Mentioned,0,0.87,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
69,Services & Infrastructural Strengthening Under Integrated Child Development Services (Icds) For Addr,"Poverty, Eradicating Hunger, Malnutrition",Pan India,Nec/ Not Mentioned,0,0.5,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
70,Strengthening The Access & Quality Of Childcare Services For All Young Children Under 6 Years Throug,"Poverty, Eradicating Hunger, Malnutrition",Pan India,Nec/ Not Mentioned,0,0.6,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
71,Universal Health Care Through Health System Strengthening,"Poverty, Eradicating Hunger, Malnutrition",Pan India,Nec/ Not Mentioned,0,5.19,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
72,Aflatoun - Social And Financial Education Project,Rural Development Projects,Pan India,Nec/ Not Mentioned,0,0,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
73,Ensuring Access To Safe Drinking Water & Sanitation,Sanitation,Pan India,Nec/ Not Mentioned,0,1.87,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
74,"Reproductive, Maternal, New-Born, Child & Adolescent Health (Rmnch +A)",Slum Area Development,Pan India,Nec/ Not Mentioned,0,1,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
75,"School, Wash & Sports Infrastructure Strengthening",Slum Area Development,Pan India,Nec/ Not Mentioned,0,4.2,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
76,Mission Gaurav (Linking Migrants And Their Families With Government Schemes And Entitlements Thru Ap,Environmental Sustainability,Rajasthan,Nagaur,0,0.44,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
77,Financial Support In Connection With Social And Economic Support For Vulnerable Groups During Covid,Environmental Sustainability,Rajasthan,Nec/ Not Mentioned,0,0.62,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
78,"'Gurukul' - Bridge, Remedial, After-School Support Classes/ Police Clubs/ Mobile Education Vans",Education,Tamil Nadu,Chennai,0,1.35,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
79,"'Gurukul' - Bridge, Remedial, After-School Support Classes/ Police Clubs/ Mobile Education Vans",Education,Tamil Nadu,Chennai,0,2.45,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
80,"Gurukul' - Bridge, Remedial, After-School Support Classes/ Police Clubs/ Mobile Education Vans",Education,Tamil Nadu,Chennai,0,0.46,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
81,Improvement Of Coastal And Marine Habitats For Native Biodiversity,Environmental Sustainability,Tamil Nadu,Chennai,0,0.5,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
82,Improving Lives Of Stray Animals And Addressing Human Animal Conflict Inside Community Areas,Environmental Sustainability,Tamil Nadu,Chennai,0,0.04,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
83,Improving Lives Of Stray Animals And Addressing Human Animal Conflict Inside Community Areas,Environmental Sustainability,Tamil Nadu,Chennai,0,0.94,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
84,"Increase In Green Cover, Carbon Sequestration, Native Biodiversity Through Afforestation And Habitat",Environmental Sustainability,Tamil Nadu,Chennai,0,0.27,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
85,19-03-2001 00:00,Environmental Sustainability,Tamil Nadu,Chennai,0,0.48,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
86,Supporting The Front Line Workers And Health Care Workers In Government Hospital With Hygienic Packe,Environmental Sustainability,Tamil Nadu,Chennai,0,0.32,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
87,Promoting Women'S And Girls' Empowerment And Leadership,Gender Equality,Tamil Nadu,Chennai,0,0.24,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
88,Health In Emergencies,Health Care,Tamil Nadu,Chennai,0,0.32,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
89,"Reproductive, Maternal, New-Born, Child & Adolescent Health (Rmnch +A)",Health Care,Tamil Nadu,Chennai,0,0.82,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
90,"Non-Communicable / Communicable Diseases, Elderly Care, Nutrition, Well Being And Mental Health In A","Poverty, Eradicating Hunger, Malnutrition",Tamil Nadu,Chennai,0,0,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
91,"Non-Communicable / Communicable Diseases, Elderly Care, Nutrition, Well Being And Mental Health In A","Poverty, Eradicating Hunger, Malnutrition",Tamil Nadu,Chennai,0,0.11,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
92,"Non-Communicable / Communicable Diseases, Elderly Care, Nutrition, Well Being And Mental Health In A","Poverty, Eradicating Hunger, Malnutrition",Tamil Nadu,Chennai,0,0.31,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
93,"Non-Communicable / Communicable Diseases, Elderly Care, Nutrition, Well Being And Mental Health In A","Poverty, Eradicating Hunger, Malnutrition",Tamil Nadu,Chennai,0,0.46,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
94,Providing Market Oriented Employable Skills With Wage/ Self Employment Opportunities Through Skill T,Slum Area Development,Tamil Nadu,Chennai,0,0.5,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
95,'Sports For Change' - Sports Training & Holistic Development,Training To Promote Sports,Tamil Nadu,Chennai,0,0.11,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
96,'Sports For Change' - Sports Training & Holistic Development,Training To Promote Sports,Tamil Nadu,Chennai,0,0.16,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
97,Career Guidance & Counselling,Vocational Skills,Tamil Nadu,Chennai,0,0.38,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
98,'My School' - Enhancement Of State/Under-Served Schools To Strengthen The Quality Of Primary And Sec,Education,Tamil Nadu,Coimbatore,0,0.28,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
99,Improving Lives Of Stray Animals And Addressing Human Animal Conflict Inside Community Areas,Environmental Sustainability,Tamil Nadu,Coimbatore,0,0.09,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
100,"Increase In Green Cover, Carbon Sequestration, Native Biodiversity Through Afforestation And Habitat",Environmental Sustainability,Tamil Nadu,Coimbatore,0,0,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
101,"Increase In Green Cover, Carbon Sequestration, Native Biodiversity Through Afforestation And Habitat",Environmental Sustainability,Tamil Nadu,Coimbatore,0,0,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
102,'My School' - Enhancement Of State/Under-Served Schools To Strengthen The Quality Of Primary And Sec,Education,Tamil Nadu,Madurai,0,0.05,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
103,Incubation Of Social Entrepreneurs/ Micro-Enterprises,Education,Tamil Nadu,Madurai,0,0,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
104,Promoting Stem Learning & Digital Literacy,Education,Tamil Nadu,Madurai,0,0.37,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
105,Conservation And Rejuvenation Of Waterbodies Through Community Engagement,Environmental Sustainability,Tamil Nadu,Madurai,0,0.66,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
106,"Non-Communicable / Communicable Diseases, Elderly Care, Nutrition, Well Being And Mental Health In A",Health Care,Tamil Nadu,Madurai,0,0.17,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
107,Setting Up Of Oxygen Plant At Gkf Hospital,Health Care,Tamil Nadu,Madurai,0,0.1,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
108,"Non-Communicable / Communicable Diseases, Elderly Care, Nutrition, Well Being And Mental Health In A","Poverty, Eradicating Hunger, Malnutrition",Tamil Nadu,Madurai,0,0,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
109,"Reproductive, Maternal, New-Born, Child & Adolescent Health (Rmnch +A)","Poverty, Eradicating Hunger, Malnutrition",Tamil Nadu,Madurai,0,2.38,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
110,Strengthening The Access & Quality Of Childcare Services For All Young Children Under 6 Years Throug,"Poverty, Eradicating Hunger, Malnutrition",Tamil Nadu,Madurai,0,1.07,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
111,"Reproductive, Maternal, New-Born, Child & Adolescent Health (Rmnch +A)",Slum Area Development,Tamil Nadu,Madurai,0,0.49,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
112,'Sports For Change' - Sports Training & Holistic Development,Training To Promote Sports,Tamil Nadu,Madurai,0,0.29,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
113,'My School' - Enhancement Of State/Under-Served Schools To Strengthen The Quality Of Primary And Sec,Education,Tamil Nadu,Nec/ Not Mentioned,0,0.34,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
114,Creek - Restoration Of Fishing Creeks In Muthupet Mangroves,Environmental Sustainability,Tamil Nadu,Thanjavur,0,0.25,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
115,Covid Pandemic - Situation Report From The Nilgiris Biosphere Reserve And Proposed Relief Interventi,Environmental Sustainability,Tamil Nadu,The Nilgiris��,0,0.4,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
116,"Hill Waters & Wetlands For Communities & Wildlife - Eco - Restoration,ABCD Applied Ecology & Advocac",Environmental Sustainability,Tamil Nadu,The Nilgiris��,0,1,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
117,Investing Today For A Healthy Community Tomorrow: Strengthening Communities And Health Systems For P,Health Care,Tamil Nadu,Vellore,0,0.25,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
118,Strengthening The Value Chain Of Arts & Crafts Sector & Linking Artisans To Customers (A2C) Directl,Art And Culture,Telangana,Hyderabad,0,0,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
119,'My School' - Enhancement Of State/Under-Served Schools To Strengthen The Quality Of Primary And Sec,Education,Telangana,Hyderabad,0,0,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
120,Providing Market Oriented Employable Skills With Wage/ Self Employment Opportunities Through Skill T,Education,Telangana,Hyderabad,0,0.53,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
121,"Women Empowerment - Collectivization Of Women Into Self Help Groups (Shgs) To Bring About Social, Ec",Gender Equality,Telangana,Hyderabad,0,0,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
122,Incubation Of Social Entrepreneurs/ Micro-Enterprises,Livelihood Enhancement Projects,Telangana,Hyderabad,0,0.6,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
123,"Non-Communicable / Communicable Diseases, Elderly Care, Nutrition, Well Being And Mental Health In A","Poverty, Eradicating Hunger, Malnutrition",Telangana,Hyderabad,0,0.04,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
124,"School, Wash & Sports Infrastructure Strengthening","Poverty, Eradicating Hunger, Malnutrition",Telangana,Hyderabad,0,0.54,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
125,'My School' - Enhancement Of State/Under-Served Schools To Strengthen The Quality Of Primary And Sec,Education,Uttar Pradesh,Gautam Buddha Nagar,0,0,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
126,'My School' - Enhancement Of State/Under-Served Schools To Strengthen The Quality Of Primary And Sec,Education,Uttar Pradesh,Gautam Buddha Nagar,0,0.32,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
127,'My School' - Enhancement Of State/Under-Served Schools To Strengthen The Quality Of Primary And Sec,Education,Uttar Pradesh,Gautam Buddha Nagar,0,0.78,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
128,Career Guidance & Counselling,Education,Uttar Pradesh,Gautam Buddha Nagar,0,0.25,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
129,Child Friendly Infrastructure And Behavior Change,Education,Uttar Pradesh,Gautam Buddha Nagar,0,0.13,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
130,My School' - Enhancement Of State/Under-Served Schools To Strengthen The Quality Of Primary And Seco,Education,Uttar Pradesh,Gautam Buddha Nagar,0,0.36,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
131,Providing Market Oriented Employable Skills With Wage/ Self Employment Opportunities Through Skill T,Education,Uttar Pradesh,Gautam Buddha Nagar,0,0,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
132,Providing Market Oriented Employable Skills With Wage/ Self Employment Opportunities Through Skill T,Education,Uttar Pradesh,Gautam Buddha Nagar,0,0,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
133,Providing Market Oriented Employable Skills With Wage/ Self Employment Opportunities Through Skill T,Education,Uttar Pradesh,Gautam Buddha Nagar,0,0.19,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
134,Providing Market Oriented Employable Skills With Wage/ Self Employment Opportunities Through Skill T,Education,Uttar Pradesh,Gautam Buddha Nagar,0,0.28,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
135,Providing Market Oriented Employable Skills With Wage/ Self Employment Opportunities Through Skill T,Education,Uttar Pradesh,Gautam Buddha Nagar,0,0.3,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
136,Providing Market Oriented Employable Skills With Wage/ Self Employment Opportunities Through Skill T,Education,Uttar Pradesh,Gautam Buddha Nagar,0,0.5,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
137,Providing Market Oriented Employable Skills With Wage/ Self Employment Opportunities Through Skill T,Education,Uttar Pradesh,Gautam Buddha Nagar,0,0.78,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
138,Conservation And Rejuvenation Of Waterbodies Through Community Engagement,Environmental Sustainability,Uttar Pradesh,Gautam Buddha Nagar,0,0.49,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
139,Conservation And Rejuvenation Of Waterbodies Through Community Engagement,Environmental Sustainability,Uttar Pradesh,Gautam Buddha Nagar,0,0.49,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
140,Conservation And Rejuvenation Of Waterbodies Through Community Engagement,Environmental Sustainability,Uttar Pradesh,Gautam Buddha Nagar,0,1.06,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
141,Enhancing Environment Awareness Amoung Communities By Environment Education With The Help Of Innovat,Environmental Sustainability,Uttar Pradesh,Gautam Buddha Nagar,0,0.5,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
142,Improving Lives Of Stray Animals And Addressing Human Animal Conflict Inside Community Areas,Environmental Sustainability,Uttar Pradesh,Gautam Buddha Nagar,0,0.84,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
143,"Increase In Green Cover, Carbon Sequestration, Native Biodiversity Through Afforestation And Habitat",Environmental Sustainability,Uttar Pradesh,Gautam Buddha Nagar,0,0,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
144,"Increase In Green Cover, Carbon Sequestration, Native Biodiversity Through Afforestation And Habitat",Environmental Sustainability,Uttar Pradesh,Gautam Buddha Nagar,0,0.04,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
145,"Increase In Green Cover, Carbon Sequestration, Native Biodiversity Through Afforestation And Habitat",Environmental Sustainability,Uttar Pradesh,Gautam Buddha Nagar,0,0.5,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
146,"Increase In Green Cover, Carbon Sequestration, Native Biodiversity Through Afforestation And Habitat",Environmental Sustainability,Uttar Pradesh,Gautam Buddha Nagar,0,0.72,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
147,Reduction In Carbon-Di-Oxide Emission,Environmental Sustainability,Uttar Pradesh,Gautam Buddha Nagar,0,0.3,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
148,"Building Inclusive, Gender Friendly And Safe Spaces In Schools And Communities",Gender Equality,Uttar Pradesh,Gautam Buddha Nagar,0,0,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
149,Mainstreaming Gender Transformative & Inclusive Approaches Across All Thematic Areas.,Gender Equality,Uttar Pradesh,Gautam Buddha Nagar,0,0.42,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
150,"Non-Communicable / Communicable Diseases, Elderly Care, Nutrition, Well Being And Mental Health In A",Gender Equality,Uttar Pradesh,Gautam Buddha Nagar,0,1.76,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
151,Providing Market Oriented Employable Skills With Wage/ Self Employment Opportunities Through Skill T,Gender Equality,Uttar Pradesh,Gautam Buddha Nagar,0,0.16,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
152,Providing Market Oriented Employable Skills With Wage/ Self Employment Opportunities Through Skill T,Gender Equality,Uttar Pradesh,Gautam Buddha Nagar,0,0.75,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
